ordinal,id,location,euro,surface,compartiment,link
176,X9AC1001R,campului,96000,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/campului/apartament-de-vanzare-3-camere-X9AC1001R?lista=141495822
177,X8SC1001J,marasti,91700,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8SC1001J?lista=141495822
178,X93B10085,marasti,89500,78,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X93B10085?lista=141495822
179,X93B1009M,europa,108088,76,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/europa/apartament-de-vanzare-3-camere-X93B1009M?lista=141495822
180,X46K103TB,manastur,99000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X46K103TB?lista=141495822
181,X83T0000N,manastur,85000,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X83T0000N?lista=141495822
182,X8SC1002O,europa,109824,82,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/europa/apartament-de-vanzare-3-camere-X8SC1002O?lista=141495822
183,X93B10017,borhanci,101500,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X93B10017?lista=141495822
184,X93B1006V,central,107500,70,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X93B1006V?lista=141495822
185,X9AC1003P,manastur,100000,75,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9AC1003P?lista=141495822
186,X8SC10037,central,106223,73,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X8SC10037?lista=141495822
187,X57Q1003R,central,109175,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X57Q1003R?lista=141495822
