id,rooms,surface,floor,maxfloor,compartiment,age,euro,location,link
X8F500085,3,65,2,4,decomandat,-1,110000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X8F500085?lista=141346768
X9ND1001B,3,65,1,4,decomandat,-1,120000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X9ND1001B?lista=141346768
X9PI1009K,3,65,3,3,semidecomandat,-1,94000,campului,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/campului/apartament-de-vanzare-3-camere-X9PI1009K?lista=141346768
X1FJ0017A,3,65,7,8,decomandat,-1,89000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1FJ0017A?lista=141346768
X7KQ1009I,3,67,2,6,semidecomandat,0,115000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7KQ1009I?lista=141346768
X9E00000N,3,63,9,10,decomandat,-1,95000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9E00000N?lista=141346768
X5NQ10031,3,67,2,4,decomandat,-1,114000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X5NQ10031?lista=141346768
X8MD100AD,3,65,3,4,decomandat,-1,95000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X8MD100AD?lista=141346768
X1KA100DM,3,70,7,7,decomandat,-1,105000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA100DM?lista=141346768
XANP0000Q,4,89,6,6,decomandat,0,108517,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-4-camere-XANP0000Q?lista=141346768
X9M210006,3,61,2,3,semidecomandat,-1,108000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X9M210006?lista=141346768
X1KA1002N,3,67,8,10,decomandat,-1,110000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1KA1002N?lista=141346768
X7KQ1009Q,3,72,1,2,decomandat,0,102088,borhanci,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X7KQ1009Q?lista=141346768
XARL10022,4,80,2,4,decomandat,-1,117000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-XARL10022?lista=141346768
X1KA100BJ,5,100,8,9,semidecomandat,-1,119900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-5-camere-X1KA100BJ?lista=141346768
X7KQ10032,3,85,1,4,semidecomandat,0,111000,grigorescu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-3-camere-X7KQ10032?lista=141346768
X1KA100EF,3,70,5,7,semidecomandat,0,77000,baciu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X1KA100EF?lista=141346768
X3SH103CR,3,82,5,6,semidecomandat,0,115000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X3SH103CR?lista=141346768
XA7E00004,3,71,1,4,decomandat,0,107700,central,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-XA7E00004?lista=141346768
X4I71000T,4,80,3,4,decomandat,-1,120000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X4I71000T?lista=141346768
XAHI10046,3,63,5,10,semidecomandat,-1,115000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XAHI10046?lista=141346768
X46K102RK,3,91,1,3,decomandat,-1,119000,borhanci,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X46K102RK?lista=141346768
X9LN1001S,4,76,4,4,decomandat,-1,95000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X9LN1001S?lista=141346768
X6QM1001F,3,61,2,3,decomandat,-1,99900,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X6QM1001F?lista=141346768
X5TR1000J,3,65,3,4,decomandat,-1,119500,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X5TR1000J?lista=141346768
XA6P00011,3,66,2,4,decomandat,-1,95000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XA6P00011?lista=141346768
X1KA101VP,3,67,2,6,decomandat,0,91200,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA101VP?lista=141346768
X8BO1000N,3,62,3,6,semidecomandat,0,74000,dambul rotund,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X8BO1000N?lista=141346768
X9PI10075,3,66,4,4,semidecomandat,-1,82000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PI10075?lista=141346768
X1KA100PV,3,65,2,4,decomandat,-1,115000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X1KA100PV?lista=141346768
XB1J10004,4,88,1,3,semidecomandat,0,97000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-XB1J10004?lista=141346768
X7P11001E,4,85,4,4,decomandat,-1,85000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X7P11001E?lista=141346768
X9B41000N,4,82,4,4,decomandat,-1,104500,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X9B41000N?lista=141346768
X9T70000P,3,64,1,5,decomandat,0,89000,semicentral,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/semicentral/apartament-de-vanzare-3-camere-X9T70000P?lista=141346768
X54N0006J,4,78,3,4,decomandat,-1,97500,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-4-camere-X54N0006J?lista=141346768
X9CH10005,3,85,3,3,decomandat,-1,78000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9CH10005?lista=141346768
X1KA100MQ,3,72,1,6,decomandat,0,92638,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA100MQ?lista=141346768
X46K104IP,3,65,8,9,decomandat,-1,96500,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X46K104IP?lista=141346768
X1KA100PE,3,75,10,11,decomandat,0,113670,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA100PE?lista=141346768
X4HK10069,3,67,2,0,decomandat,-1,116000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X4HK10069?lista=141346768
